evidence_id,topic,source_type,source_title,source_url,date,actor_type,archetype,stance,concern_type,core_claim,evidence_quote,reliability_score,usable_agent
E-NM-001,夜市,12345_complaint,市民服务热线工单 NM-2024-0321,https://example.com/12345/nm-0321,2024-03-21,摊贩,直接受益者,support,economic,夜市是摊贩家庭唯一收入来源，请求保留摊位,"我是XX小区门口夜市的摊贩，在这里经营五年了。这是我们唯一的生活来源，家里有两个孩子在读书。请求政府保留摊位，我们愿意接受规范化管理。",0.75,夜市摊贩代表
E-NM-002,夜市,12345_complaint,市民服务热线工单 NM-2024-0457,https://example.com/12345/nm-0457,2024-04-15,居民,直接受影响者,oppose,environmental,居民投诉夜间噪声油烟影响正常生活,"我住在XX小区3号楼，正对夜市。每天晚上到11点多还吵得不行，划拳声、炒菜声、鼓风机声不断。窗户关了也没用。油烟飘进来，阳台衣服都有味道。",0.80,周边居民代表
E-NM-003,夜市,12345_complaint,市民服务热线工单 NM-2024-0512,https://example.com/12345/nm-0512,2024-05-01,居民,直接受影响者,oppose,health,夜市闭市后垃圾残留影响卫生环境,"夜市每天收摊后，人行道上全是油渍、竹签、塑料袋。早上出门上班都要绕路走。环卫工人虽然辛苦，但油渍根本冲不掉。",0.78,周边居民代表
E-NM-004,夜市,12345_complaint,市民服务热线工单 NM-2024-0618,https://example.com/12345/nm-0618,2024-06-01,居民,直接受影响者,conditional_oppose,social,路边停车和通行受阻,"夜市一开，人行道被摊位占满，行人被迫走机动车道。推婴儿车和轮椅根本过不去。这不是有没有夜市的问题，是基本通行权的问题。",0.82,周边居民代表
E-NM-005,夜市,gov_policy,市城管委关于促进夜间经济发展的指导意见,https://example.com/gov/night-economy-2023,2023-09-01,政府,治理方,conditional_support,governance,对符合条件的夜间经济集聚区应给予规范引导而非一刀切禁止,"各区应合理划定夜间经济集聚区，对符合条件的经营点位给予规范引导。严禁简单取缔，也严禁放任不管。应当建立'负面清单+正面引导'相结合的管理模式。",0.90,街道办治理人员
E-NM-006,夜市,leader_board,领导留言板居民留言,https://example.com/leader-board/nm-01,2024-02-10,消费者,间接受益者,support,economic,夜市提供便利低价消费选择,"我们小区周边没有平价餐饮，外卖又贵又慢。夜市是我们加班晚归后唯一能吃上热饭的地方。关了夜市，对我们这些没时间做饭的年轻人影响很大。",0.70,夜间消费者代表
E-NM-007,夜市,academic,城市公共空间治理案例研究,https://example.com/academic/urban-space,2024-01-15,研究者,专业观察者,neutral,governance,试点机制是解决公共空间争议的有效工具,"国内外多个城市的经验表明，对于存在争议的公共空间使用方式，'设定条件-限时试点-数据评估-动态调整'的四步机制比'一刀切决策'更能兼顾多方利益。",0.85,城市设计师
E-NM-008,夜市,gov_reply,区环卫中心关于夜市环卫问题的答复,https://example.com/gov/sanitation-reply,2024-07-10,环卫,服务提供者,conditional_oppose,environmental,夜市区域环卫清扫难度和成本显著高于普通区域,"经实地测算，夜市周边区域的夜间垃圾量是普通商业街的 2-3 倍，油污清洗需使用专用设备和清洁剂，单次深度清洁成本约 800 元/100 米路段。目前该区域的额外清扫成本由环卫部门自行消化。",0.88,环卫人员代表
E-NM-009,夜市,news,XX晚报：老旧小区夜市的治理困局,https://example.com/news/night-market,2024-05-20,媒体,观察者,neutral,social,夜市治理需要平衡多方利益,"记者走访发现，该夜市涉及 40 余个摊位，摊贩多为外来务工人员和下岗再就业人员。街道办工作人员表示'不是不想管，是不知道怎么管才能让各方都接受'。",0.72,
E-NM-010,夜市,12345_complaint,市民服务热线工单 NM-2024-0823,https://example.com/12345/nm-0823,2024-08-10,居民,直接受影响者,conditional_oppose,safety,夜市期间发生过小火灾隐患,"上个月有个烧烤摊的炭火差点引燃旁边的遮阳棚，虽然及时发现没出事，但想想就后怕。夜市这么多煤气罐和炭火，一旦出事消防车根本进不来。",0.76,周边居民代表
